Frodo: 1171
Elbereth: 7
Cirith Gorgor: 7
Troll: 7
Mr. Underhill: 7
Mundburg: 7
Kheled: 7
Dead Marshes: 7
Brandywine Bridge: 7
Merry Brandybuck: 6
Night: 6
Broken: 6
Ori: 6
Eregion: 6
Ruling Ring: 6
Minas Anor: 6
Willow: 6
Last Homely: 6
Nine Riders: 6
Winter: 6
Emyn: 6
Gollum. He: 6
Boss: 6
Hollin: 6
Tin: 6
Ring. But: 6
Wild Men: 6
Morgul Vale: 6
Master Samwise: 6
Stars: 6
Phial: 6
Dwimorberg: 6
Fair: 6
Ungol: 6
Frodo. He: 6
Silmaril: 6
Redhorn Gate: 6
Wild Man: 6
Pimple: 6
Eriador: 6
Archet: 6
Cleft: 6
Marshes: 6
Seven: 6
The Pony: 6
Stinker: 6
Quickbeam: 6
Easterlings: 6
Lord Aragorn: 6
Entish: 6
Thorin Oakenshield: 6
Dark Years: 6
Tuckborough: 6
Teeth: 6
Valley: 6
Grey Havens: 6
Imladris: 6
Bearer: 6
Northern: 6
Woody End: 6
Anborn: 6
Wold: 6
Summer: 6
Front Gate: 6
Umbar: 6
North Kingdom: 6
Barliman: 6
Fatty: 6
Celebrant: 6
Harlond: 6
Mirrormere: 6
Caras Galadhon: 6
Drogo: 6
Shire. But: 6
Oakenshield: 6
Towers: 6
Havens: 6
Rose: 6
Stones: 6
King Elessar: 6
Watchers: 5
Haradrim: 5
Midsummer: 5
Frodo. They: 5
Golden Hall: 5
April: 5
Stairs: 5
Snaga: 5
Cracks: 5
Dark Power: 5
White Council: 5
Great Darkness: 5
The Hobbit: 5
North Wind: 5
Erestor: 5
Keys: 5
September: 5
Northerners: 5
Great Smials: 5
Row: 5
Rammas: 5
Northfarthing: 5
Henneth Annyn: 5
People: 5
Whiteskins: 5
Green Hills: 5
Dimrill Stair: 5
Appendix: 5
Deeping Wall: 5
Isengard. But: 5
Ingold: 5
Galdor: 5
Erkenbrand: 5
Ithil: 5
Entmoot: 5
Bregalad: 5
High Elves: 5
Pony: 5
Loudwater: 5
Shadows: 5
Elfstone: 5
Lockholes: 5
Dol Guldur: 5
Anbrion: 5
Barrel: 5
Big Folk: 5
Riddermark: 5
Folk: 5
Greyflood: 5
Belfalas: 4
Sam. The: 4
Elvenhome: 4
Tookish: 4
Mountain. But: 4
Thjoden King: 4
Worm: 4
Ethir: 4
Harry: 4
Last Alliance: 4
Dol: 4
Don: 4
Iron Hills: 4
Hob: 4
Lumpkin: 4
The Green: 4
Boffin: 4
Nori: 4
Beornings: 4
Isenmouthe: 4
She: 4
Sammath Naur: 4
Journey: 4
Fellowship: 4
Ravenhill: 4
Edge: 4
Mrs. Cotton: 4
Days: 4
Elder: 4
Orcrist: 4
Queen: 4
Sandyman: 4
West. But: 4
Glamdring: 4
Inn: 4
City. Then: 4
Fatty Lumpkin: 4
Kingdom: 4
Tale: 4
Morthond: 4
Eldamar: 4
Ered Lithui: 4
Tongue: 4
Hallows: 4
Lune: 4
Hornblower: 4
Brown Lands: 4
Cerin Amroth: 4
Red Arrow: 4
Bilbo. They: 4
Grimbold: 4
Cormallen: 4
Companions: 4
Edrendil: 4
Frodo Baggins: 4
Sundering Seas: 4
Ettenmoors: 4
Five Armies: 4
They: 4
Necromancer: 4
Party: 4
Ered Nimrais: 4
West. There: 4
Guards: 4
Dagorlad: 4
Tindrock: 4
Common Room: 4
Rath Dnnen: 4
Frogmorton: 4
Gladden Fields: 4
Brandywine River: 4
Rohan. And: 4
Snowbourn: 4
Stoors: 4
Windlord: 4
Rapids: 4
Ring. The: 4
Southron: 4
Proudfoot: 4
Mortal Men: 4
Dr: 4
Western Seas: 4
Cnrdan: 4
Gondor. And: 4
Woodhall: 4
Aragorn. He: 4
Heir: 4
The Prancing: 4
Chamber: 4
Paladin: 4
Mazarbul: 4
Southern: 4
Star: 4
East Wind: 4
Harfoots: 4
New Year: 4
Window: 4
Man Willow: 4
Yellow Face: 4
Thrur: 4
Face: 3
Bolg: 3
Watcher: 3
Shire. The: 3
Nain: 3
Fiery Mountain: 3
Frodo. Sam: 3
Isengrim: 3
Hasufel: 3
Fields: 3
Ann: 3
Uin: 3
Robin: 3
Staddle: 3
Nan Curunnr: 3
Valar: 3
Farmer Maggot: 3
Pinnath Gelin: 3
East. The: 3
Thing: 3
Dawn: 3
Dwimordene: 3
Merry. The: 3
Mouth: 3
Hirgon: 3
Delving: 3
Red Eye: 3
Mr. Peregrin: 3
Gimli. He: 3
Pity: 3
Far Downs: 3
Three Rings: 3
Merry. It: 3
Golden Perch: 3
Nibs: 3
Desolation: 3
Fangorn Forest: 3
Ecthelion: 3
Thjoden Thengel: 3
River. The: 3
Mr. Drogo: 3
Long: 3
Belladonna Took: 3
Starkhorn: 3
Fountain: 3
Heart: 3
Tower Hills: 3
Book: 3
Will Whitfoot: 3
Fredegar Bolger: 3
Westmarch: 3
Number: 3
King Jomer: 3
Brego: 3
Five: 3
Oliphaunt: 3
Back Again: 3
Queen Arwen: 3
Side: 3
Realm: 3
Otho: 3
Cottons: 3
Black Shadow: 3
Moot: 3
Years: 3
Westfarthing: 3
Wednesday: 3
Court: 3
Bucklebury Ferry: 3
Mr. Brandybuck: 3
Lonely: 3
Year: 3
Merry. They: 3
Eastern: 3
Shadow Host: 3
Bucklanders: 3
Fornost: 3
Terror: 3
Marshal: 3
West Wind: 3
Thursday: 3
Udyn: 3
Stonewain Valley: 3
Silent Watchers: 3
Elessar: 3
Naith: 3
Elanor: 3
Elwing: 3
Ciril: 3
Voice: 3
Burglar: 3
Saruman. It: 3
Shire. He: 3
Hoarwell: 3
Waymeet: 3
Skinbark: 3
Ted Sandyman: 3
Entings: 3
Boffins: 3
Third Company: 3
Ilmarin: 3
Stybba: 3
High Pass: 3
First: 3
Bombadillo: 3
Sirannon: 3
Third Marshal: 3
Amon: 3
Monday: 3
Isildur Elendil: 3
Amon Don: 3
Hal: 3
White Lady: 3
Hand: 3
Landroval: 3
Baldor: 3
Underhills: 3
Mountain. It: 3
Nameless Land: 3
Chubb: 3
Angmar: 3
Thrihyrne: 3
Last: 3
Forlong: 3
Bowman: 3
Mount Mindolluin: 3
Corsairs: 3
Enemy. But: 3
Mearas: 3
Tharbad: 3
Gondor. But: 3
Rhyn: 3
Guthlbf: 3
Crack: 3
Mordor. Not: 2
Gandalf? He: 2
Uncle Bilbo: 2
Lurien. Then: 2
Gandalf. Then: 2
Common Tongue: 2
Chubbs: 2
Mardil: 2
Passing: 2
Running: 2
Mercy: 2
Westron: 2
World: 2
Second: 2
Black Years: 2
Passage: 2
Mounds: 2
Farthings: 2
Wraith: 2
Haunted Mountain: 2
Mugwort: 2
Orthanc. So: 2
Yule: 2
Peregrin Took: 2
Captain Faramir: 2
Second Age: 2
Henneth: 2
Black Men: 2
Sarn Ford: 2
Uruks: 2
Gilthoniel: 2
Buckland. But: 2
Frodo. There: 2
Warg: 2
Light: 2
Fangorn. Legolas: 2
Forbidden Pool: 2
Amon Syl: 2
City. There: 2
Ents. There: 2
Arvedui: 2
Foe: 2
Elrond. For: 2
Pippin. The: 2
Scouring: 2
Mathom: 2
Knife: 2
Bywater Road: 2
Golden: 2
Power. It: 2
Barley: 2
Green: 2
Western: 2
Djorwine: 2
Elrond. If: 2
Green Dragon: 2
King Brand: 2
Baranduin: 2
White Downs: 2
Elves. And: 2
Gondor, Boromir: 2
History: 2
Lair: 2
Dark Land: 2
Enemy. Yet: 2
Eressla: 2
Toby: 2
Woody: 2
Bombadil, Tom: 2
Third: 2
Frodo. Frodo: 2
Bullroarer: 2
Bound: 2
City. But: 2
Ents. They: 2
Sam. It: 2
Walls: 2
Fangorn. But: 2
Anduin. At: 2
East Wall: 2
Men. But: 2
Herbs: 2
Palantnr: 2
Chetwood: 2
Thrain, King: 2
Longbottom: 2
Jetsam: 2
Sign: 2
Westfold Vale: 2
Thangorodrim: 2
Wild. It: 2
Erebor: 2
Twenty: 2
The Tale: 2
Rimmon: 2
Folde: 2
Siege: 2
Forest. The: 2
Angbor: 2
Sneak: 2
Map: 2
Mordor. We: 2
Eve: 2
Entwade: 2
Fallohides: 2
Fatty Bolger: 2
Silverlode. The: 2
Falls: 2
Lob: 2
Rivendell. We: 2
Thranduil: 2
Gross: 2
Pyre: 2
Balm: 2
The: 2
Thorin. It: 2
Leaflock: 2
West. Legolas: 2
Glittering Caves: 2
North Moors: 2
Morgulduin: 2
Shire. There: 2
Onodrim: 2
Orcs. But: 2
Elrond Halfelven: 2
Grey Mountains: 2
Undertowers: 2
Black Hand: 2
Mill: 2
Conspiracy Unmasked: 2
Captain. He: 2
Lone: 2
Herblore: 2
Angband: 2
Enemy. The: 2
Longbottom Leaf: 2
Lhaw: 2
Orthanc. The: 2
Greyhame: 2
Big Man: 2
Methedras: 2
Dimrill: 2
Amon Lhaw: 2
Thorin. They: 2
Country: 2
Tim: 2
Faramir, Captain: 2
Nameless One: 2
Wraiths: 2
Tobold: 2
Horn: 2
Old Ent: 2
Anor: 2
Silver Swan: 2
Silver Tree: 2
Men. For: 2
Under: 2
Storm: 2
Redhorn: 2
Pipe: 2
Bay: 2
Lore: 2
Ordering: 2
North. The: 2
Wide World: 2
Buck Hill: 2
Elbereth! Gilthoniel: 2
First Hall: 2
Water Hot: 2
Old Road: 2
Gandalf. Bilbo: 2
Boromir. He: 2
Celebdil: 2
Mordor. But: 2
North. In: 2
Frodo. His: 2
Limlight: 2
Fanuidhol: 2
Fear: 2
Ring. He: 2
North Road: 2
Grey Pilgrim: 2
Lord Celeborn: 2
Hither Shore: 2
Frodo. It: 2
Orofarnl, Lassemista: 2
South Ithilien: 2
Sons: 2
Nen Hithoel: 2
Holman: 2
Bifur, Bofur: 2
Mordor. For: 2
Aragorn. There: 2
Legolas. The: 2
Merry. He: 2
Lord Mithrandir: 2
Closed: 2
Buckland Gate: 2
Meetings: 2
Chapter: 2
Pippin. He: 2
Deputy Mayor: 2
Jothain: 2
Ravenhill. There: 2
Andy: 2
Imlad Morgul: 2
Faramir. And: 2
Hornburg. The: 2
Short Cut: 2
Gondor. They: 2
Saruman. That: 2
Rivendell. That: 2
Roll: 2
Tirion: 2
Gandalf. But: 2
Seeing: 2
Rath: 2
Sunday: 2
King! Thjoden: 2
Good: 2
Rivendell. It: 2
Isengard. He: 2
Ride: 2
The Rules: 2
Orthanc. But: 2
Dorwinion: 2
River Running: 2
Evenstar: 2
Of: 2
On: 2
Inglorion: 2
Grey Wanderer: 2
East. As: 2
Outsiders: 2
Beater: 2
Frodo. The: 2
Grubbs: 2
Dread: 2
Gollum. Then: 2
Shire. You: 2
Wind: 2
Choices: 2
Iarwain: 2
Muster: 2
Trolls: 2
Long Cleeve: 2
Common: 2
Hobbiton. They: 2
Dead Men: 2
Aglarond: 2
Past: 2
Laurelindurenan: 2
Orthanc. It: 2
Ring Goes: 2
Gandalf. The: 2
Mr. Merry: 2
Hornburg. There: 2
South Wind: 2
Great Rings: 2
Sauron. They: 2
Silvertine: 2
Isengard. The: 2
Rammas Echor: 2
Thrbin: 2
Finding: 2
Tall: 2
Outlands: 2
Nargothrond: 2
Firienfeld: 2
Girion: 2
Pelennor Fields: 2
Her: 2
Fenmarch: 2
Sea. There: 2
Eastemnet: 2
Mordor. The: 2
Dead. But: 2
Underhill: 2
The Lord: 2
Gate. It: 2
Tom Cotton: 2
High Up: 2
Durthang: 2
Narsil: 2
Rules: 2
Windfola: 2
Smjagol. He: 2
Last Debate: 2
Wellinghall: 2
Ringwraith: 2
Breaking: 2
Lurien. And: 2
Greenfields: 2
Mordor. He: 2
Morgul Pass: 2
Death Down: 2
Tol: 2
Great Gates: 2
Bounders: 2
Beleriand: 2
Mithlond: 2
Company. He: 2
Fimbrethil: 2
West. Gollum: 2
Nine Walkers: 2
White Towers: 2
Thror King: 2
Aragorn. But: 2
Enemy. Even: 2
Masters: 2
Dunlendings: 2
Pool: 2
Winged Messenger: 2
North. He: 2
Saruman. Who: 2
Dnnen: 2
Hobbiton Road: 2
Departure: 2
Bucklander: 2
Wall: 2
Fallohide: 2
Nimloth: 2
Opens: 2
Valinor: 2
Black Captain: 2
Variags: 2
Will: 2
Burden: 2
Elrond. There: 2
Road. At: 2
Wolf: 2
Huorn: 2
Morgul Valley: 2
Lampwrights' Street: 2
Waste: 2
Free: 2
Doriath: 2
Mirkwood. But: 2
Frodo. And: 2
Mushrooms: 2
Flanor: 2
Eagle: 2
Gamgees: 2
Osgiliath. There: 2
Zirak: 2
Mr. Lotho: 2
Andros: 2
Galadriel. He: 2
Silent Street: 2
Hayward: 2
Barahir: 2
New Row: 2
Thjodred: 2
Reward: 2
Celebrnan: 2
Master Gorbadoc: 2
Bilbo. But: 2
Carach Angren: 2
Southerner: 2
Mordor. Well: 2
Ernil: 2
Tower. It: 2
Seat: 2
Elbereth Gilthoniel: 2
Swan: 2
Closed Door: 2
Taming: 2
Frodo. At: 2
Saturday: 2
Hamfast: 2
Stewed Rabbit: 2
High: 2
Age: 2
Were: 2
Duilin: 2
Noman: 2
Fair Folk: 2
Sea. The: 2
North Downs: 2
Nan: 2
Combe: 2
Halifirien: 2
Men. It: 2
Tasarinan: 2
Lidless Eye: 2
West. They: 2
West. Then: 2
Thingol: 2
Tomnoddy: 2
Great Eye: 2
Ring. We: 2
Egladil: 2
Partings: 2
Stair: 2
Langstrand: 2
Her Ladyship: 2
Fundin: 2
Blade: 2
Northmen: 1
Proudfoots: 1
Fallohidish: 1
Trolls. We: 1
Parth: 1
Nameless Enemy: 1
Men. The: 1
Over: 1
Halflings. We: 1
Rivendell, Gondor: 1
Lord Saruman: 1
Gandalf? Of: 1
Pippin. Putting: 1
Old Mr: 1
Council. Your: 1
White Company: 1
Spiders: 1
Sun. If: 1
Brockenbores: 1
Greyflood. After: 1
Aldaluml: 1
Gandalf. Try: 1
Hobbits, Dwarves: 1
Nimrodel. Since: 1
Deep. There: 1
Dearth: 1
Galadriel. They: 1
Swordsman: 1
North. But: 1
Buckland. My: 1
Enemy. High: 1
Withered Heath: 1
Frodo! Pippin: 1
Gwaihir. If: 1
Enemy. For: 1
Elves. They: 1
East Men: 1
Angmar. This: 1
Carc. Carc: 1
Elves. Then: 1
Key: 1
Isengard. Their: 1
Long Marshes: 1
Fathers: 1
Curunnr: 1
Sea. That: 1
Nazgyl? Has: 1
Edrendil Elenion: 1
South, Haradrim: 1
Lurien. But: 1
Enemy. Not: 1
Anduin. Now: 1
Orthanc? Very: 1
Company. Clearly: 1
Woods: 1
Wise, Saruman: 1
Moontower: 1
North Stair: 1
South Kingdom: 1
Kings. And: 1
Seer: 1
Messrs. Grubb: 1
Buckland. No: 1
Nanduhirion: 1
First Shirriff: 1
Gondor. Are: 1
Assaulting Gate: 1
Isle: 1
Melui: 1
Valimar. Maybe: 1
Unnamed: 1
Smjagol. Don: 1
Whoa: 1
Common Language: 1
Yale: 1
Hot Water: 1
Luni: 1
Even: 1
Gondor! We: 1
Shire. Remember: 1
Ancient World: 1
Ever: 1
Burrows: 1
Shire. Their: 1
Gandalf. Instead: 1
Fell Rider: 1
Mordor. From: 1
Bilbo. Yet: 1
Golden House: 1
Arathorn, Elendil: 1
Moria. But: 1
Sea. He: 1
Laurelindurenan! That: 1
Orcs. From: 1
Legolas. For: 1
Herubrand, Horn: 1
Seen: 1
Kili? Here: 1
Shadowmere: 1
Mr. Gandalf: 1
Great Eagle: 1
Folca: 1
Faces: 1
Ossiriand: 1
Elf. On: 1
North, South: 1
South. Everything: 1
Haven: 1
Esgalduin: 1
East End: 1
Stinker Slinker: 1
Enemy. There: 1
Bom: 1
Mugworts: 1
Stoningland: 1
Caverns: 1
Ettendales: 1
North. Tidings: 1
Miss Melilot: 1
Leave: 1
Preciouss. Give: 1
Lotho? Whatever: 1
Jowyn, Lady: 1
Precious? Does: 1
Runes: 1
Men. Upon: 1
River. Don: 1
Enting: 1
Steward Faramir: 1
Bill. Not: 1
Tom, Tom: 1
Hill. In: 1
Mrs. Bungo: 1
Nazgyl Lord: 1
Edrnur: 1
Neldoreth. There: 1
Dale. These: 1
Gloin. They: 1
Precious. Thieves: 1
Frodo, Fatty: 1
Rivendell. And: 1
Greatest: 1
Tirith. But: 1
Tom. Yet: 1
Black Gates: 1
Mountain. Two: 1
Strong Men: 1
Fords. As: 1
Moria. And: 1
Weathertop. There: 1
Bridgefields: 1
Slinker: 1
Bracegirdle: 1
Rivendell. On: 1
Mr Bilbo: 1
Gandalf. They: 1
Gondor. Say: 1
Gbrulf: 1
Lair. Out: 1
Longbottom. The: 1
East. He: 1
Ring! The: 1
Better: 1
Black Breath: 1
Gundabad: 1
Bracegirdles: 1
Eve. Splendid: 1
Four Farthings: 1
Deputy: 1
Saruman. Also: 1
Downlands: 1
Gimli! No: 1
Party Tree: 1
Faramir Ithilien: 1
One. And: 1
Harfoot: 1
Cirith Ungo: 1
Dwarf. If: 1
Pippin. Mr: 1
Cirdan: 1
Delving. The: 1
Legolas. Then: 1
Kin. For: 1
Smjagol. Yes: 1
Legolas. They: 1
Slowly: 1
South. Instead: 1
Blessed Realm: 1
Withered Tree: 1
Daddy Twofoot: 1
Three Houses: 1
Mat Heathertoes: 1
Pass: 1
Southlands: 1
Haunted Pass: 1
Renewer: 1
North. Soon: 1
Meriadoc. Though: 1
Djor: 1
Morgoth: 1
Bree, The: 1
Strider. Then: 1
Narrow Ice: 1
Home: 1
Water. Soon: 1
Glorfindel. The: 1
Wetwang: 1
Isengard! Though: 1
Precious. But: 1
Naith. Few: 1
Saddle: 1
Men. Still: 1
Red: 1
Hobbiton! Folk: 1
Straight Stair: 1
Breath: 1
Mordor. Below: 1
Shire. Sam: 1
Merethrond: 1
Precious. Good: 1
Lord Boromir: 1
Spring. You: 1
Mr Peregrin: 1
Lurien: Frodo: 1
Mount: 1
Gandalf: Then: 1
Miss Primula: 1
West. Looking: 1
Cleft, Cirith: 1
Mound: 1
Norland: 1
Dale. Approach: 1
Men! To: 1
Standing Silence: 1
Banquets: 1
Dale. Some: 1
Ancalagon: 1
Gondor. We: 1
Sickle: 1
Peregrin! He: 1
Radbug: 1
Brandybuck. She: 1
Thorondor: 1
East. And: 1
Sam, Pippin: 1
Nenya: 1
Black Pit: 1
Trees. Who: 1
Deep. Aragorn: 1
Celebrimbor: 1
Dead City: 1
Bolgers: 1
Elrond. Evidently: 1
West. The: 1
Thrice: 1
Ring. In: 1
Mines? For: 1
High City: 1
Dwarf. Elves: 1
Gandalf! Half: 1
Gathering: 1
Sluggard: 1
Black Stone: 1
Great Ships: 1
Note: 1
Eorl. And: 1
Calenardhon: 1
Drogo. Go: 1
Lady. They: 1
Valandil, Isildur: 1
Treebeard. The: 1
Nine Servants: 1
Orthanc. There: 1
Lost: 1
Gate. There: 1
Southwest: 1
Stormcrow? Lbthspell: 1
Birthday: 1
Galadriel. Did: 1
Wood. Forty: 1
Saruman? But: 1
Shire. Three: 1
Shadow. Of: 1
High Nazgyl: 1
Road. Their: 1
Gram: 1
East. On: 1
Little People: 1
Edrendil. And: 1
Westernesse. But: 1
Old Words: 1
Mordor. One: 1
Elder Kindred: 1
Meneldor: 1
Weathertop. Crush: 1
Sun. She: 1
White Crown: 1
River. He: 1
Bob! Ah: 1
Northern Men: 1
Phial Frodo: 1
Mount Gram: 1
Thank: 1
Dale. Dain: 1
Elfstone. They: 1
The Took: 1
Many Colours: 1
Gimli. In: 1
Power. He: 1
Mordor. Cruel: 1
Lobelia. How: 1
Scatha: 1
Undumiel: 1
Troop: 1
Ljofa: 1
Party Field: 1
West. Far: 1
Clouds Burst: 1
Holbytla: 1
Gollum. Before: 1
Master Elrond: 1
Wild Wood: 1
Gandalf Greyhame: 1
Udyn. In: 1
Gate. Guessing: 1
Fill: 1
Valimar! Farewell: 1
High Kindred: 1
Mirkwood. Then: 1
Gothmog: 1
Pheriain: 1
High Hay: 1
Rethe: 1
Grimbeorn: 1
Ring. Let: 1
Carc: 1
Mordor. Though: 1
Care: 1
Captain Frodo: 1
Westron Speech: 1
Ringwinner: 1
Citadel. Then: 1
Calamities: 1
North Gandalf: 1
Engagement Tablet: 1
Forest. Sam: 1
Faramir. Less: 1
Baranor: 1
Middle Days: 1
Autumn. Still: 1
Gate. So: 1
High Warden: 1
Information: 1
Eagles. He: 1
Doom. Gandalf: 1
Havens. Though: 1
Hildinyar: 1
Gore: 1
Smaug. It: 1
Ya: 1
Tower. For: 1
Bard! King: 1
Isengard. That: 1
Table: 1
Trees. No: 1
Smaug. In: 1
Shire. Neither: 1
Gollum. We: 1
Great Eagles: 1
Precious. Nasty: 1
City. Less: 1
Evening Star: 1
Bribing Guards: 1
Moot. Hm: 1
Orcs. Now: 1
Hot: 1
Tree. His: 1
Wights: 1
Lotho Pimple: 1
Tarmenel: 1
Neekerbreekers: 1
Ungol? Morgul: 1
Ents. It: 1
Enemy. That: 1
Westgate. The: 1
Mordor, Saruman: 1
Old Mill: 1
Havens, Sam: 1
Merry. There: 1
Adamant: 1
Orthanc. Saruman: 1
Cob: 1
Himself. That: 1
Pippin. Two: 1
Firienwood: 1
Gollum. Presently: 1
Sting. You: 1
